exp,threshold,mode,malware,precision,recall,f1,tp,predicted,gt
w_DeGPT_wo_top,0.8,tlsh_ssdeep,new_sample,0.07317073170731707,1.0,0.13636363636363635,3,41,3
w_DeGPT_wo_top,0.8,tlsh_ssdeep,Total,0.03732809430255403,0.7307692307692307,0.07102803738317758,19,509,26
w_DeGPT_wo_top,0.8,palmtree_tlsh_ssdeep,Babuk,0.5,0.8,0.6153846153846154,4,8,5
w_DeGPT_wo_top,0.8,palmtree_tlsh_ssdeep,AbbadonRAT,0.017543859649122806,0.42857142857142855,0.033707865168539325,3,171,7
w_DeGPT_wo_top,0.8,palmtree_tlsh_ssdeep,BPFDoor,0.125,1.0,0.2222222222222222,2,16,2
w_DeGPT_wo_top,0.8,palmtree_tlsh_ssdeep,Emotet,0.005847953216374269,1.0,0.011627906976744186,1,171,1
w_DeGPT_wo_top,0.8,palmtree_tlsh_ssdeep,Emotet2,0.1111111111111111,1.0,0.19999999999999998,1,9,1
w_DeGPT_wo_top,0.8,palmtree_tlsh_ssdeep,IISerpent,0.022222222222222223,1.0,0.04347826086956522,1,45,1
w_DeGPT_wo_top,0.8,palmtree_tlsh_ssdeep,RaccoonStealer,0.125,0.6666666666666666,0.21052631578947367,4,32,6
w_DeGPT_wo_top,0.8,palmtree_tlsh_ssdeep,new_sample,0.07894736842105263,1.0,0.14634146341463414,3,38,3
w_DeGPT_wo_top,0.8,palmtree_tlsh_ssdeep,Total,0.03877551020408163,0.7307692307692307,0.07364341085271318,19,490,26
